column_name,type
ScenarioId,categorical
AirbaseId,categorical
EntityId,numerical
EntityName,object
EntityTypeId,categorical
IsEnabled,categorical
IsGeoLocated,categorical
CenterPointX,numerical
CenterPointY,categorical
CenterPointZ,categorical
CenterPointLat,numerical
CenterPointLon,numerical
CenterPointAlt,categorical
ShapeTypeId,categorical
Radius,categorical
Length,categorical
Width,categorical
Height,categorical
Orientation,categorical
BermInnerDistance,categorical
BermOuterDistance,categorical
BermHeight,categorical
