,data type,n values,n missing,n unique,categorical,numeric,ordinal,response
design_point,int64,2150,0,5,True,True,True,False
iteration,int64,2150,0,10,True,True,True,False
LaunchRequestName,object,2150,0,17,True,False,False,False
MissionLoadoutName,object,2150,0,4,True,False,False,False
BeginLaunchWindow,int64,2150,0,17,True,True,True,False
EndLaunchWindow,int64,2150,0,17,True,True,True,False
AircraftTypeName,object,2150,0,3,True,False,False,False
quantityLaunched,int64,2150,0,13,True,True,True,True
MinAircraft,int64,2150,0,4,True,True,True,False
proportionExecuted,float64,2150,0,20,True,True,True,True
SortieDurationInHoursDistribution,object,2150,0,4,True,False,False,False
